municipio,id_unidade_gestora,codigo_ibge,populacao_2022
Abreu e Lima,1,2600054,98462
Afogados da Ingazeira,3,2600104,40241
Afrânio,8,2600203,18674
Agrestina,11,2600302,23779
Água Preta,15,2600401,26461
Águas Belas,19,2600500,41548
Alagoinha,23,2600609,13542
Aliança,26,2600708,35741
Altinho,28,2600807,20674
Amaraji,32,2600906,18205
Angelim,36,2601003,10241
Araçoiaba,771,2601052,19243
Araripina,40,2601102,85088
Arcoverde,47,2601201,77742
Barra de Guabiraba,51,2601300,12263
Barreiros,58,2601409,40121
Belém de Maria,60,2601508,10378
Belém de São Francisco,62,2601607,18301
Belo Jardim,66,2601706,79507
Betânia,71,2601805,11232
Bezerros,74,2601904,61694
Bodocó,80,2602001,34478
Bom Conselho,84,2602100,44294
Bom Jardim,88,2602209,37629
Bonito,91,2602308,37474
Brejão,96,2602407,9079
Brejinho,99,2602506,7720
Brejo da Madre de Deus,103,2602605,48648
Buenos Aires,109,2602704,12808
Buíque,112,2602803,52097
Cabo de Santo Agostinho,115,2602902,203440
Cabrobó,125,2603009,30294
Cachoeirinha,128,2603108,19899
Caetés,131,2603207,28827
Calçado,137,2603306,11093
Calumbi,141,2603405,5228
Camaragibe,144,2603454,147771
Camocim de São Félix,151,2603504,17419
Camutanga,156,2603603,7750
Canhotinho,158,2603702,24329
Capoeiras,162,2603801,18338
Carnaíba,166,2603900,18644
Carnaubeira da Penha,738,2603926,12239
Carpina,169,2604007,79293
Caruaru,172,2604106,378048
Casinhas,757,2604155,12967
Catende,182,2604205,32156
Cedro,185,2604304,10518
Chã de Alegria,189,2604403,12984
Chã Grande,194,2604502,20546
Condado,203,2604601,24587
Correntes,207,2604700,17131
Cortês,211,2604809,10198
Cumaru,214,2604908,15920
Cupira,217,2605004,23518
Custódia,220,2605103,37699
Dormentes,732,2605152,17188
Escada,224,2605202,59891
Exu,227,2605301,31843
Feira Nova,230,2605400,21427
Ferreiros,232,2605509,15026
Flores,235,2605608,20347
Floresta,238,2605707,30137
Frei Miguelinho,241,2605806,13636
Gameleira,243,2605905,18214
Garanhuns,247,2606002,142506
Glória do Goitá,251,2606101,29347
Goiana,253,2606200,81055
Granito,257,2606309,6967
Gravatá,260,2606408,86516
Iati,265,2606507,17165
Ibimirim,269,2606606,26593
Ibirajuba,274,2606705,7140
Igarassu,278,2606804,115196
Iguaracy,283,2606903,11081
Ilha de Itamaracá,306,2607604,24540
Inajá,286,2607000,25603
