MUNICIPIO,ANOREFERENCIA,CATEGORIARECEITA,ORIGEMRECEITA,ESPECIERECEITA,DESCRICAO,VALORLANCAMENTO
Abreu e Lima,2023,Dedução de Receitas,Transferências Correntes,Transferências da União e de suas Entidades,Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal,-15063026.53
Abreu e Lima,2023,Dedução de Receitas,Transferências Correntes,Transferências da União e de suas Entidades,Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal,-1372.36
Abreu e Lima,2023,Dedução de Receitas,Transferências Correntes,Transferências Intergovernamentais,Cota-Parte do ICMS - Principal,-10579504.58
Abreu e Lima,2023,Dedução de Receitas,Transferências Correntes,Transferências Intergovernamentais,Cota-Parte do IPVA - Principal,-1731344.74
Abreu e Lima,2023,Dedução de Receitas,Transferências Correntes,Transferências Intergovernamentais,Cota-Parte do IPI - Municípios - Principal,-34938.12
Abreu e Lima,2023,Receitas Correntes,Outras Receitas Correntes,Indenizações e Restituições,Outros Ressarcimentos - Principal,376491.88
Abreu e Lima,2023,Receitas Correntes,Outras Receitas Correntes,Indenizações e Restituições,Outros Ressarcimentos - Dívida Ativa,7522.12
Abreu e Lima,2023,Receitas Correntes,Outras Receitas Correntes,Indenizações e Restituições,Outras Restituições - Principal,270471.37
Abreu e Lima,2023,Receitas Correntes,Outras Receitas Correntes,Multas e Juros de Mora,Multas Previstas em Legislação Específica - Principal,51349.39
Abreu e Lima,2023,Receitas Correntes,Outras Receitas Correntes,Receitas Diversas,Outras Receitas Administradas pela RFB - Principal,10322.43
Abreu e Lima,2023,Receitas Correntes,Receita de Serviços,Serviços Administrativos e Comerciais Gerais,Inscrição em Concursos e Processos Seletivos - Principal,437700
Abreu e Lima,2023,Receitas Correntes,Receita Patrimonial,Receitas de Valores Mobiliários,Remuneração de Depósitos Bancários - Principal,11858518.33
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros,25994.89
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros",2396.37
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros da Dívida Ativa",8560.47
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros,14236.89
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros da Dívida Ativa,18487.36
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros da Dívida Ativa,90419.25
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa",36140.57
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal,1038889.24
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal",1545485.66
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa,540759.04
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa,268414.43
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre a Propriedade Predial e Territorial Urbana - Principal,1051993.82
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal,10731945.51
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Impostos,Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal,751058.72
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,Taxas pela Prestação de Serviços em Geral - Multas e Juros,6316.35
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,"Taxas de Inspeção, Controle e Fiscalização - Multas e Juros",49507.1
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,Taxas pela Prestação de Serviços em Geral - Multas e Juros da Dívida Ativa,38188.64
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,Taxas pela Prestação de Serviços em Geral - Dívida Ativa,53643.52
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,"Taxas de Inspeção, Controle e Fiscalização - Multas e Juros da Dívida Ativa",138289.3
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,Taxa de Fiscalização de Vigilância Sanitária - Principal,107164.36
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,"Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa",361214.79
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,Taxas pela Prestação de Serviços em Geral - Principal,490514.05
Abreu e Lima,2023,Receitas Correntes,Receita Tributária,Taxas,"Taxas de Inspeção, Controle e Fiscalização - Principal",734396.64
Abreu e Lima,2023,Receitas Correntes,Receitas de Contribuições,Contribuição para o Custeio do Serviço de Iluminação Pública,Contribuição para o Custeio do Serviço de Iluminação Pública - Principal,8043018.5
